task_id,asset,timeframe,end_date,end_time,分析时的价格,未来第一根K线的价格,未来第二根K线的价格,ai_decision,is_correct,profit_pct_1,profit_pct_2,cumulative_win_rate,duration_s,result_id,ai_version,data_method,kline_count,future_kline_count,error,AGENT_MODEL,GRAPH_MODEL,回测模式,资金_初始,资金_当前,下单金额,仓位比例,合约倍数,滑点百分比,强制平仓百分比,名义金额,成交数量,成交开仓价,成交平仓价,平仓原因,本次盈亏,本次盈亏百分比
,,,,,,,,,,,,,,,,,,,=== 新批次开始 2026-01-19 23:04:21 ===,,,,,,,,,,,,,,,,,
1,BTC,4h,2025/5/17,19:59,N/A,N/A,N/A,ERROR,Error,N/A,N/A,无,12.752,,original,to_end,40,13,404 Client Error: Not Found for url: http://localhost:8000/api/v1/analyze/,ZhipuAI/GLM-4.7,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10000.00,3000.00,30.00%,10.0000,0.0500%,5.0000%,0.00,0.00000000,N/A,N/A,执行失败,+0.00,N/A
2,BTC,4h,2025/5/17,03:59,N/A,N/A,N/A,ERROR,Error,N/A,N/A,无,15.192,,original,to_end,40,13,"HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/v1/analyze/ (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。""))",ZhipuAI/GLM-4.7,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10000.00,3000.00,30.00%,10.0000,0.0500%,5.0000%,0.00,0.00000000,N/A,N/A,执行失败,+0.00,N/A
